30600_G.pthheat: 0.0000, Adjust_PSNR: 25.6042, Adjust_LPIPS: 0.1396, Adjust_SSIM: 0.8384, PSNR: 21.8476, LPIPS: 0.1449, SSIM: 0.8230
30800_G.pthheat: 0.0000, Adjust_PSNR: 25.0776, Adjust_LPIPS: 0.1407, Adjust_SSIM: 0.8433, PSNR: 21.6724, LPIPS: 0.1475, SSIM: 0.8269
31000_G.pthheat: 0.0000, Adjust_PSNR: 25.7752, Adjust_LPIPS: 0.1453, Adjust_SSIM: 0.8349, PSNR: 22.4786, LPIPS: 0.1477, SSIM: 0.8216
31200_G.pthheat: 0.0000, Adjust_PSNR: 25.2729, Adjust_LPIPS: 0.1462, Adjust_SSIM: 0.8347, PSNR: 22.1593, LPIPS: 0.1485, SSIM: 0.8220
31400_G.pthheat: 0.0000, Adjust_PSNR: 25.9136, Adjust_LPIPS: 0.1399, Adjust_SSIM: 0.8410, PSNR: 22.6190, LPIPS: 0.1447, SSIM: 0.8269
31600_G.pthheat: 0.0000, Adjust_PSNR: 26.0530, Adjust_LPIPS: 0.1404, Adjust_SSIM: 0.8423, PSNR: 23.3936, LPIPS: 0.1441, SSIM: 0.8293
31800_G.pthheat: 0.0000, Adjust_PSNR: 25.6780, Adjust_LPIPS: 0.1500, Adjust_SSIM: 0.8345, PSNR: 22.3524, LPIPS: 0.1516, SSIM: 0.8238
32000_G.pthheat: 0.0000, Adjust_PSNR: 25.2847, Adjust_LPIPS: 0.1432, Adjust_SSIM: 0.8312, PSNR: 21.9034, LPIPS: 0.1446, SSIM: 0.8188
32200_G.pthheat: 0.0000, Adjust_PSNR: 25.5836, Adjust_LPIPS: 0.1370, Adjust_SSIM: 0.8448, PSNR: 22.3505, LPIPS: 0.1434, SSIM: 0.8281
32400_G.pthheat: 0.0000, Adjust_PSNR: 25.3754, Adjust_LPIPS: 0.1546, Adjust_SSIM: 0.8344, PSNR: 22.6769, LPIPS: 0.1573, SSIM: 0.8231
32600_G.pthheat: 0.0000, Adjust_PSNR: 25.8994, Adjust_LPIPS: 0.1337, Adjust_SSIM: 0.8410, PSNR: 22.3492, LPIPS: 0.1396, SSIM: 0.8271
32800_G.pthheat: 0.0000, Adjust_PSNR: 25.6269, Adjust_LPIPS: 0.1386, Adjust_SSIM: 0.8440, PSNR: 22.4263, LPIPS: 0.1444, SSIM: 0.8279
33000_G.pthheat: 0.0000, Adjust_PSNR: 25.7420, Adjust_LPIPS: 0.1419, Adjust_SSIM: 0.8386, PSNR: 22.5710, LPIPS: 0.1441, SSIM: 0.8274
33200_G.pthheat: 0.0000, Adjust_PSNR: 25.2303, Adjust_LPIPS: 0.1529, Adjust_SSIM: 0.8342, PSNR: 22.2930, LPIPS: 0.1543, SSIM: 0.8230
33400_G.pthheat: 0.0000, Adjust_PSNR: 25.6686, Adjust_LPIPS: 0.1440, Adjust_SSIM: 0.8372, PSNR: 22.7279, LPIPS: 0.1457, SSIM: 0.8256
33600_G.pthheat: 0.0000, Adjust_PSNR: 25.9233, Adjust_LPIPS: 0.1429, Adjust_SSIM: 0.8416, PSNR: 22.6996, LPIPS: 0.1458, SSIM: 0.8307
33800_G.pthheat: 0.0000, Adjust_PSNR: 26.0286, Adjust_LPIPS: 0.1416, Adjust_SSIM: 0.8408, PSNR: 22.8310, LPIPS: 0.1438, SSIM: 0.8286
34000_G.pthheat: 0.0000, Adjust_PSNR: 25.7146, Adjust_LPIPS: 0.1319, Adjust_SSIM: 0.8503, PSNR: 21.7238, LPIPS: 0.1392, SSIM: 0.8344
34200_G.pthheat: 0.0000, Adjust_PSNR: 25.5503, Adjust_LPIPS: 0.1452, Adjust_SSIM: 0.8348, PSNR: 22.6402, LPIPS: 0.1455, SSIM: 0.8236
34400_G.pthheat: 0.0000, Adjust_PSNR: 26.3455, Adjust_LPIPS: 0.1284, Adjust_SSIM: 0.8458, PSNR: 22.6857, LPIPS: 0.1324, SSIM: 0.8330
34600_G.pthheat: 0.0000, Adjust_PSNR: 26.2166, Adjust_LPIPS: 0.1343, Adjust_SSIM: 0.8464, PSNR: 21.3904, LPIPS: 0.1456, SSIM: 0.8246
34800_G.pthheat: 0.0000, Adjust_PSNR: 25.8018, Adjust_LPIPS: 0.1415, Adjust_SSIM: 0.8399, PSNR: 22.6794, LPIPS: 0.1441, SSIM: 0.8273
35000_G.pthheat: 0.0000, Adjust_PSNR: 25.9005, Adjust_LPIPS: 0.1437, Adjust_SSIM: 0.8376, PSNR: 22.8506, LPIPS: 0.1469, SSIM: 0.8249
35200_G.pthheat: 0.0000, Adjust_PSNR: 25.8277, Adjust_LPIPS: 0.1426, Adjust_SSIM: 0.8400, PSNR: 22.7154, LPIPS: 0.1452, SSIM: 0.8284
35400_G.pthheat: 0.0000, Adjust_PSNR: 25.7656, Adjust_LPIPS: 0.1403, Adjust_SSIM: 0.8421, PSNR: 22.8111, LPIPS: 0.1445, SSIM: 0.8285
35600_G.pthheat: 0.0000, Adjust_PSNR: 26.3300, Adjust_LPIPS: 0.1290, Adjust_SSIM: 0.8506, PSNR: 23.0089, LPIPS: 0.1347, SSIM: 0.8363
35800_G.pthheat: 0.0000, Adjust_PSNR: 25.8105, Adjust_LPIPS: 0.1347, Adjust_SSIM: 0.8438, PSNR: 22.5033, LPIPS: 0.1406, SSIM: 0.8285
36000_G.pthheat: 0.0000, Adjust_PSNR: 25.9064, Adjust_LPIPS: 0.1333, Adjust_SSIM: 0.8402, PSNR: 22.8187, LPIPS: 0.1351, SSIM: 0.8274
36200_G.pthheat: 0.0000, Adjust_PSNR: 26.1763, Adjust_LPIPS: 0.1372, Adjust_SSIM: 0.8428, PSNR: 22.8695, LPIPS: 0.1400, SSIM: 0.8311
36400_G.pthheat: 0.0000, Adjust_PSNR: 25.6721, Adjust_LPIPS: 0.1400, Adjust_SSIM: 0.8409, PSNR: 21.7295, LPIPS: 0.1476, SSIM: 0.8232
36600_G.pthheat: 0.0000, Adjust_PSNR: 25.5522, Adjust_LPIPS: 0.1427, Adjust_SSIM: 0.8400, PSNR: 22.3705, LPIPS: 0.1463, SSIM: 0.8272
36800_G.pthheat: 0.0000, Adjust_PSNR: 25.2965, Adjust_LPIPS: 0.1521, Adjust_SSIM: 0.8345, PSNR: 23.0933, LPIPS: 0.1517, SSIM: 0.8259
37000_G.pthheat: 0.0000, Adjust_PSNR: 26.2310, Adjust_LPIPS: 0.1305, Adjust_SSIM: 0.8491, PSNR: 22.7736, LPIPS: 0.1354, SSIM: 0.8340
37200_G.pthheat: 0.0000, Adjust_PSNR: 26.2407, Adjust_LPIPS: 0.1336, Adjust_SSIM: 0.8470, PSNR: 22.4391, LPIPS: 0.1377, SSIM: 0.8331
37400_G.pthheat: 0.0000, Adjust_PSNR: 26.3943, Adjust_LPIPS: 0.1327, Adjust_SSIM: 0.8481, PSNR: 22.9276, LPIPS: 0.1362, SSIM: 0.8345
37600_G.pthheat: 0.0000, Adjust_PSNR: 25.9180, Adjust_LPIPS: 0.1367, Adjust_SSIM: 0.8443, PSNR: 22.3639, LPIPS: 0.1401, SSIM: 0.8310
37800_G.pthheat: 0.0000, Adjust_PSNR: 26.0948, Adjust_LPIPS: 0.1253, Adjust_SSIM: 0.8512, PSNR: 22.8026, LPIPS: 0.1310, SSIM: 0.8373
38000_G.pthheat: 0.0000, Adjust_PSNR: 26.1189, Adjust_LPIPS: 0.1294, Adjust_SSIM: 0.8488, PSNR: 22.9685, LPIPS: 0.1345, SSIM: 0.8366
38200_G.pthheat: 0.0000, Adjust_PSNR: 26.4570, Adjust_LPIPS: 0.1247, Adjust_SSIM: 0.8523, PSNR: 22.7970, LPIPS: 0.1305, SSIM: 0.8397
38400_G.pthheat: 0.0000, Adjust_PSNR: 25.2055, Adjust_LPIPS: 0.1586, Adjust_SSIM: 0.8268, PSNR: 21.8133, LPIPS: 0.1575, SSIM: 0.8182
38600_G.pthheat: 0.0000, Adjust_PSNR: 26.0628, Adjust_LPIPS: 0.1330, Adjust_SSIM: 0.8424, PSNR: 22.0877, LPIPS: 0.1396, SSIM: 0.8270
38800_G.pthheat: 0.0000, Adjust_PSNR: 25.9348, Adjust_LPIPS: 0.1355, Adjust_SSIM: 0.8508, PSNR: 22.4557, LPIPS: 0.1411, SSIM: 0.8372
39000_G.pthheat: 0.0000, Adjust_PSNR: 26.1632, Adjust_LPIPS: 0.1341, Adjust_SSIM: 0.8474, PSNR: 23.2702, LPIPS: 0.1377, SSIM: 0.8346
39200_G.pthheat: 0.0000, Adjust_PSNR: 25.9980, Adjust_LPIPS: 0.1294, Adjust_SSIM: 0.8465, PSNR: 22.7796, LPIPS: 0.1345, SSIM: 0.8302
39400_G.pthheat: 0.0000, Adjust_PSNR: 25.8772, Adjust_LPIPS: 0.1399, Adjust_SSIM: 0.8383, PSNR: 22.0912, LPIPS: 0.1422, SSIM: 0.8245
39600_G.pthheat: 0.0000, Adjust_PSNR: 25.7655, Adjust_LPIPS: 0.1331, Adjust_SSIM: 0.8423, PSNR: 23.1971, LPIPS: 0.1340, SSIM: 0.8310
39800_G.pthheat: 0.0000, Adjust_PSNR: 25.9584, Adjust_LPIPS: 0.1319, Adjust_SSIM: 0.8441, PSNR: 21.7469, LPIPS: 0.1401, SSIM: 0.8271
40000_G.pthheat: 0.0000, Adjust_PSNR: 24.8185, Adjust_LPIPS: 0.1534, Adjust_SSIM: 0.8250, PSNR: 21.1999, LPIPS: 0.1534, SSIM: 0.8117
40100_G.pthheat: 0.0000, Adjust_PSNR: 25.9722, Adjust_LPIPS: 0.1320, Adjust_SSIM: 0.8437, PSNR: 23.0718, LPIPS: 0.1346, SSIM: 0.8307
40200_G.pthheat: 0.0000, Adjust_PSNR: 26.3768, Adjust_LPIPS: 0.1301, Adjust_SSIM: 0.8481, PSNR: 23.0474, LPIPS: 0.1348, SSIM: 0.8337
40300_G.pthheat: 0.0000, Adjust_PSNR: 25.9950, Adjust_LPIPS: 0.1366, Adjust_SSIM: 0.8434, PSNR: 22.9584, LPIPS: 0.1398, SSIM: 0.8311
40400_G.pthheat: 0.0000, Adjust_PSNR: 26.1879, Adjust_LPIPS: 0.1258, Adjust_SSIM: 0.8454, PSNR: 22.9393, LPIPS: 0.1297, SSIM: 0.8320
40500_G.pthheat: 0.0000, Adjust_PSNR: 26.2885, Adjust_LPIPS: 0.1267, Adjust_SSIM: 0.8462, PSNR: 22.5833, LPIPS: 0.1330, SSIM: 0.8296
40600_G.pthheat: 0.0000, Adjust_PSNR: 26.3851, Adjust_LPIPS: 0.1318, Adjust_SSIM: 0.8482, PSNR: 23.1196, LPIPS: 0.1352, SSIM: 0.8356
40700_G.pthheat: 0.0000, Adjust_PSNR: 26.1144, Adjust_LPIPS: 0.1321, Adjust_SSIM: 0.8446, PSNR: 22.6869, LPIPS: 0.1343, SSIM: 0.8310
