train_stage3_LOL PSNR: 27.6838, SSIM: 0.8800, 1_PSNR: 27.4404, 1_SSIM: 0.8789, LPIPS: 0.0843
train_stage3_LOL PSNR: 27.3116, SSIM: 0.8755, 1_PSNR: 27.0798, 1_SSIM: 0.8751, LPIPS: 0.0841
train_stage3_LOL PSNR: 27.4043, SSIM: 0.8782, 1_PSNR: 27.2038, 1_SSIM: 0.8773, LPIPS: 0.0828
train_stage3_LOL PSNR: 27.4454, SSIM: 0.8788, 1_PSNR: 27.2471, 1_SSIM: 0.8780, LPIPS: 0.0840
train_stage3_LOL PSNR: 27.6815, SSIM: 0.8798, 1_PSNR: 27.4470, 1_SSIM: 0.8787, LPIPS: 0.0794
train_stage3_LOL PSNR: 27.4860, SSIM: 0.8783, 1_PSNR: 27.2668, 1_SSIM: 0.8773, LPIPS: 0.0824
train_stage3_LOL PSNR: 27.4942, SSIM: 0.8778, 1_PSNR: 27.2958, 1_SSIM: 0.8766, LPIPS: 0.0801
train_stage3_LOL PSNR: 27.4430, SSIM: 0.8780, 1_PSNR: 27.2027, 1_SSIM: 0.8771, LPIPS: 0.0845
train_stage3_LOL PSNR: 27.5462, SSIM: 0.8789, 1_PSNR: 27.3208, 1_SSIM: 0.8779, LPIPS: 0.0853
train_stage3_LOL PSNR: 27.0373, SSIM: 0.8745, 1_PSNR: 26.8606, 1_SSIM: 0.8740, LPIPS: 0.0925
train_stage3_LOL PSNR: 27.6332, SSIM: 0.8817, 1_PSNR: 27.3750, 1_SSIM: 0.8806, LPIPS: 0.0804
train_stage3_LOL PSNR: 27.5069, SSIM: 0.8783, 1_PSNR: 27.3218, 1_SSIM: 0.8774, LPIPS: 0.0865
train_stage3_LOL PSNR: 27.2150, SSIM: 0.8762, 1_PSNR: 27.0128, 1_SSIM: 0.8755, LPIPS: 0.0863
train_stage3_LOL PSNR: 27.6902, SSIM: 0.8786, 1_PSNR: 27.4554, 1_SSIM: 0.8781, LPIPS: 0.0816
train_stage3_LOL PSNR: 27.5526, SSIM: 0.8769, 1_PSNR: 27.3362, 1_SSIM: 0.8762, LPIPS: 0.0816
train_stage3_LOL PSNR: 27.8287, SSIM: 0.8804, 1_PSNR: 27.5915, 1_SSIM: 0.8795, LPIPS: 0.0810
train_stage3_LOL PSNR: 27.3827, SSIM: 0.8780, 1_PSNR: 27.2234, 1_SSIM: 0.8775, LPIPS: 0.0842
train_stage3_LOL PSNR: 27.5862, SSIM: 0.8794, 1_PSNR: 27.3940, 1_SSIM: 0.8784, LPIPS: 0.0841
train_stage3_LOL PSNR: 27.6431, SSIM: 0.8787, 1_PSNR: 27.4195, 1_SSIM: 0.8777, LPIPS: 0.0858
train_stage3_LOL PSNR: 27.6571, SSIM: 0.8776, 1_PSNR: 27.3830, 1_SSIM: 0.8767, LPIPS: 0.0831
train_stage3_LOL PSNR: 27.4564, SSIM: 0.8764, 1_PSNR: 27.2096, 1_SSIM: 0.8754, LPIPS: 0.0868
train_stage3_LOL PSNR: 27.4821, SSIM: 0.8778, 1_PSNR: 27.2270, 1_SSIM: 0.8770, LPIPS: 0.0800
train_stage3_LOL PSNR: 27.6138, SSIM: 0.8789, 1_PSNR: 27.3979, 1_SSIM: 0.8778, LPIPS: 0.0821
train_stage3_LOL PSNR: 27.5041, SSIM: 0.8778, 1_PSNR: 27.3144, 1_SSIM: 0.8769, LPIPS: 0.0832
train_stage3_LOL PSNR: 27.6639, SSIM: 0.8802, 1_PSNR: 27.4220, 1_SSIM: 0.8791, LPIPS: 0.0843
train_stage3_LOL PSNR: 27.6036, SSIM: 0.8790, 1_PSNR: 27.3848, 1_SSIM: 0.8781, LPIPS: 0.0813
train_stage3_LOL PSNR: 27.6230, SSIM: 0.8778, 1_PSNR: 27.4499, 1_SSIM: 0.8771, LPIPS: 0.0816
train_stage3_LOL PSNR: 27.4392, SSIM: 0.8764, 1_PSNR: 27.2429, 1_SSIM: 0.8755, LPIPS: 0.0883
train_stage3_LOL PSNR: 27.3501, SSIM: 0.8751, 1_PSNR: 27.1153, 1_SSIM: 0.8744, LPIPS: 0.0886
train_stage3_LOL PSNR: 27.7066, SSIM: 0.8785, 1_PSNR: 27.4794, 1_SSIM: 0.8775, LPIPS: 0.0815
train_stage3_LOL PSNR: 27.7762, SSIM: 0.8774, 1_PSNR: 27.5218, 1_SSIM: 0.8769, LPIPS: 0.0759
train_stage3_LOL PSNR: 27.7431, SSIM: 0.8792, 1_PSNR: 27.5250, 1_SSIM: 0.8783, LPIPS: 0.0765
train_stage3_LOL PSNR: 27.9037, SSIM: 0.8794, 1_PSNR: 27.6526, 1_SSIM: 0.8786, LPIPS: 0.0776
train_stage3_LOL PSNR: 27.6474, SSIM: 0.8779, 1_PSNR: 27.3567, 1_SSIM: 0.8772, LPIPS: 0.0815
train_stage3_LOL PSNR: 27.4409, SSIM: 0.8747, 1_PSNR: 27.2204, 1_SSIM: 0.8735, LPIPS: 0.0806
train_stage3_LOL PSNR: 27.5843, SSIM: 0.8786, 1_PSNR: 27.3508, 1_SSIM: 0.8776, LPIPS: 0.0813
train_stage3_LOL PSNR: 27.6037, SSIM: 0.8793, 1_PSNR: 27.3890, 1_SSIM: 0.8783, LPIPS: 0.0786
train_stage3_LOL PSNR: 27.6276, SSIM: 0.8805, 1_PSNR: 27.4489, 1_SSIM: 0.8796, LPIPS: 0.0836
train_stage3_LOL PSNR: 27.6022, SSIM: 0.8792, 1_PSNR: 27.4259, 1_SSIM: 0.8783, LPIPS: 0.0851
train_stage3_LOL PSNR: 27.3332, SSIM: 0.8773, 1_PSNR: 27.1316, 1_SSIM: 0.8766, LPIPS: 0.0890
train_stage3_LOL PSNR: 27.8232, SSIM: 0.8811, 1_PSNR: 27.5820, 1_SSIM: 0.8800, LPIPS: 0.0783
train_stage3_LOL PSNR: 27.3799, SSIM: 0.8766, 1_PSNR: 27.1800, 1_SSIM: 0.8761, LPIPS: 0.0839
train_stage3_LOL PSNR: 27.7198, SSIM: 0.8783, 1_PSNR: 27.5052, 1_SSIM: 0.8774, LPIPS: 0.0817
train_stage3_LOL PSNR: 27.7122, SSIM: 0.8804, 1_PSNR: 27.4997, 1_SSIM: 0.8795, LPIPS: 0.0805
train_stage3_LOL PSNR: 27.5863, SSIM: 0.8784, 1_PSNR: 27.3184, 1_SSIM: 0.8778, LPIPS: 0.0855
train_stage3_LOL PSNR: 27.7973, SSIM: 0.8793, 1_PSNR: 27.5563, 1_SSIM: 0.8786, LPIPS: 0.0767
train_stage3_LOL PSNR: 27.7520, SSIM: 0.8804, 1_PSNR: 27.5082, 1_SSIM: 0.8795, LPIPS: 0.0815
train_stage3_LOL PSNR: 27.2129, SSIM: 0.8744, 1_PSNR: 27.0043, 1_SSIM: 0.8739, LPIPS: 0.0873
train_stage3_LOL PSNR: 27.5057, SSIM: 0.8793, 1_PSNR: 27.2413, 1_SSIM: 0.8786, LPIPS: 0.0823
train_stage3_LOL PSNR: 27.4545, SSIM: 0.8785, 1_PSNR: 27.2558, 1_SSIM: 0.8777, LPIPS: 0.0858
train_stage3_LOL PSNR: 27.3188, SSIM: 0.8793, 1_PSNR: 27.2593, 1_SSIM: 0.8786, LPIPS: 0.0849
train_stage3_LOL PSNR: 27.4641, SSIM: 0.8777, 1_PSNR: 27.2712, 1_SSIM: 0.8767, LPIPS: 0.0840
train_stage3_LOL PSNR: 27.1320, SSIM: 0.8755, 1_PSNR: 26.9453, 1_SSIM: 0.8749, LPIPS: 0.0881
train_stage3_LOL PSNR: 27.5485, SSIM: 0.8789, 1_PSNR: 27.3157, 1_SSIM: 0.8782, LPIPS: 0.0829
train_stage3_LOL PSNR: 27.3158, SSIM: 0.8776, 1_PSNR: 27.1444, 1_SSIM: 0.8767, LPIPS: 0.0866
train_stage3_LOL PSNR: 27.5807, SSIM: 0.8782, 1_PSNR: 27.3027, 1_SSIM: 0.8774, LPIPS: 0.0856
train_stage3_LOL PSNR: 27.6320, SSIM: 0.8778, 1_PSNR: 27.3828, 1_SSIM: 0.8769, LPIPS: 0.0815
train_stage3_LOL PSNR: 27.4748, SSIM: 0.8782, 1_PSNR: 27.2533, 1_SSIM: 0.8771, LPIPS: 0.0846
train_stage3_LOL PSNR: 27.8287, SSIM: 0.8792, 1_PSNR: 27.5434, 1_SSIM: 0.8787, LPIPS: 0.0799
train_stage3_LOL PSNR: 27.5018, SSIM: 0.8781, 1_PSNR: 27.2607, 1_SSIM: 0.8773, LPIPS: 0.0858
train_stage3_LOL PSNR: 27.3978, SSIM: 0.8775, 1_PSNR: 27.2101, 1_SSIM: 0.8767, LPIPS: 0.0859
train_stage3_LOL PSNR: 27.6470, SSIM: 0.8786, 1_PSNR: 27.3857, 1_SSIM: 0.8778, LPIPS: 0.0834
train_stage3_LOL PSNR: 27.7402, SSIM: 0.8787, 1_PSNR: 27.4979, 1_SSIM: 0.8778, LPIPS: 0.0850
train_stage3_LOL PSNR: 27.1055, SSIM: 0.8775, 1_PSNR: 26.9734, 1_SSIM: 0.8767, LPIPS: 0.0865
train_stage3_LOL PSNR: 27.6352, SSIM: 0.8813, 1_PSNR: 27.3586, 1_SSIM: 0.8803, LPIPS: 0.0819
